treatment,risk,replicate_id
Moderna,4e-4,81
No_vaccine,0.011066666666666667,81
Moderna,6e-4,82
No_vaccine,0.013,82
Moderna,6e-4,83
No_vaccine,0.0132,83
Moderna,9.333333333333333e-4,84
No_vaccine,0.0124,84
Moderna,4e-4,85
No_vaccine,0.0114,85
Moderna,9.333333333333333e-4,86
No_vaccine,0.0112,86
Moderna,6e-4,87
No_vaccine,0.0128,87
Moderna,5.333333333333334e-4,88
No_vaccine,0.012,88
Moderna,4e-4,89
No_vaccine,0.011933333333333334,89
Moderna,6e-4,90
No_vaccine,0.0116,90
Moderna,9.333333333333333e-4,91
No_vaccine,0.012333333333333333,91
Moderna,9.333333333333333e-4,92
No_vaccine,0.012666666666666666,92
Moderna,8.666666666666666e-4,93
No_vaccine,0.0146,93
Moderna,8.666666666666666e-4,94
No_vaccine,0.012333333333333333,94
Moderna,6e-4,95
No_vaccine,0.012666666666666666,95
Moderna,8.666666666666666e-4,96
No_vaccine,0.014266666666666667,96
Moderna,6.666666666666666e-4,97
No_vaccine,0.013866666666666666,97
Moderna,4e-4,98
No_vaccine,0.013,98
Moderna,7.333333333333333e-4,99
No_vaccine,0.011666666666666667,99
Moderna,3.333333333333333e-4,100
No_vaccine,0.012866666666666667,100
Moderna,6.666666666666666e-4,101
No_vaccine,0.012466666666666666,101
Moderna,8.666666666666666e-4,102
No_vaccine,0.012066666666666667,102
Moderna,8.666666666666666e-4,103
No_vaccine,0.012266666666666667,103
Moderna,8e-4,104
No_vaccine,0.013266666666666666,104
Moderna,0.001,105
No_vaccine,0.011933333333333334,105
Moderna,5.333333333333334e-4,106
No_vaccine,0.011866666666666666,106
Moderna,7.333333333333333e-4,107
No_vaccine,0.012,107
Moderna,0.0011333333333333334,108
No_vaccine,0.013066666666666667,108
Moderna,0.001,109
No_vaccine,0.0138,109
Moderna,8.666666666666666e-4,110
No_vaccine,0.011133333333333334,110
Moderna,6.666666666666666e-4,111
No_vaccine,0.013733333333333334,111
Moderna,5.333333333333334e-4,112
No_vaccine,0.013333333333333334,112
Moderna,6.666666666666666e-4,113
No_vaccine,0.012866666666666667,113
Moderna,8.666666666666666e-4,114
No_vaccine,0.012733333333333333,114
Moderna,5.333333333333334e-4,115
No_vaccine,0.011666666666666667,115
Moderna,0.0010666666666666667,116
No_vaccine,0.0112,116
Moderna,5.333333333333334e-4,117
No_vaccine,0.012533333333333334,117
Moderna,3.333333333333333e-4,118
No_vaccine,0.012666666666666666,118
Moderna,6.666666666666666e-4,119
No_vaccine,0.012466666666666666,119
Moderna,5.333333333333334e-4,120
No_vaccine,0.012266666666666667,120
Moderna,6.666666666666666e-4,121
No_vaccine,0.013933333333333334,121
Moderna,7.333333333333333e-4,122
No_vaccine,0.013533333333333333,122
Moderna,7.333333333333333e-4,123
No_vaccine,0.012933333333333333,123
Moderna,6.666666666666666e-4,124
No_vaccine,0.0112,124
Moderna,0.001,125
No_vaccine,0.013666666666666667,125
Moderna,4.6666666666666666e-4,126
No_vaccine,0.012466666666666666,126
Moderna,6.666666666666666e-4,127
No_vaccine,0.012066666666666667,127
Moderna,0.0010666666666666667,128
No_vaccine,0.0122,128
Moderna,7.333333333333333e-4,129
No_vaccine,0.0126,129
Moderna,6e-4,130
No_vaccine,0.012733333333333333,130
Moderna,5.333333333333334e-4,131
No_vaccine,0.013733333333333334,131
Moderna,6e-4,132
No_vaccine,0.012066666666666667,132
Moderna,3.333333333333333e-4,133
No_vaccine,0.013,133
Moderna,9.333333333333333e-4,134
No_vaccine,0.012466666666666666,134
Moderna,6e-4,135
No_vaccine,0.011933333333333334,135
Moderna,8e-4,136
No_vaccine,0.011666666666666667,136
Moderna,0.001,137
No_vaccine,0.011466666666666667,137
Moderna,9.333333333333333e-4,138
No_vaccine,0.012133333333333333,138
Moderna,4e-4,139
No_vaccine,0.013,139
Moderna,5.333333333333334e-4,140
No_vaccine,0.012933333333333333,140
Moderna,6e-4,141
No_vaccine,0.011733333333333333,141
Moderna,6.666666666666666e-4,142
No_vaccine,0.013333333333333334,142
Moderna,9.333333333333333e-4,143
No_vaccine,0.011466666666666667,143
Moderna,6e-4,144
No_vaccine,0.012066666666666667,144
Moderna,4.6666666666666666e-4,145
No_vaccine,0.011933333333333334,145
Moderna,9.333333333333333e-4,146
No_vaccine,0.011333333333333334,146
Moderna,8e-4,147
No_vaccine,0.0122,147
Moderna,8e-4,148
No_vaccine,0.011266666666666666,148
Moderna,9.333333333333333e-4,149
No_vaccine,0.012933333333333333,149
Moderna,8.666666666666666e-4,150
No_vaccine,0.0112,150
Moderna,3.333333333333333e-4,151
No_vaccine,0.0122,151
Moderna,8e-4,152
No_vaccine,0.0118,152
Moderna,0.001,153
No_vaccine,0.011666666666666667,153
Moderna,8e-4,154
No_vaccine,0.011,154
Moderna,7.333333333333333e-4,155
No_vaccine,0.013133333333333334,155
Moderna,8.666666666666666e-4,156
No_vaccine,0.013733333333333334,156
Moderna,5.333333333333334e-4,157
No_vaccine,0.0122,157
Moderna,6e-4,158
No_vaccine,0.012066666666666667,158
Moderna,9.333333333333333e-4,159
No_vaccine,0.011533333333333333,159
Moderna,6.666666666666666e-4,160
No_vaccine,0.011866666666666666,160
Moderna,6e-4,161
No_vaccine,0.012466666666666666,161
Moderna,0.001,162
No_vaccine,0.012733333333333333,162
Moderna,7.333333333333333e-4,163
No_vaccine,0.011066666666666667,163
Moderna,9.333333333333333e-4,164
No_vaccine,0.010866666666666667,164
Moderna,8e-4,165
No_vaccine,0.011933333333333334,165
Moderna,6.666666666666666e-4,166
No_vaccine,0.012266666666666667,166
Moderna,6e-4,167
No_vaccine,0.013,167
Moderna,4.6666666666666666e-4,168
No_vaccine,0.013666666666666667,168
Moderna,7.333333333333333e-4,169
No_vaccine,0.012533333333333334,169
Moderna,8e-4,170
No_vaccine,0.011933333333333334,170
Moderna,7.333333333333333e-4,171
No_vaccine,0.0116,171
Moderna,6e-4,172
No_vaccine,0.010533333333333334,172
Moderna,2.666666666666667e-4,173
No_vaccine,0.011466666666666667,173
Moderna,4.6666666666666666e-4,174
No_vaccine,0.012333333333333333,174
Moderna,6.666666666666666e-4,175
No_vaccine,0.0128,175
Moderna,6e-4,176
No_vaccine,0.011866666666666666,176
Moderna,6.666666666666666e-4,177
No_vaccine,0.009933333333333334,177
Moderna,0.001,178
No_vaccine,0.012333333333333333,178
Moderna,6e-4,179
No_vaccine,0.011933333333333334,179
Moderna,4.6666666666666666e-4,180
No_vaccine,0.011666666666666667,180
Moderna,0.001,181
No_vaccine,0.0132,181
Moderna,5.333333333333334e-4,182
No_vaccine,0.0132,182
Moderna,8e-4,183
No_vaccine,0.011933333333333334,183
Moderna,6e-4,184
No_vaccine,0.013133333333333334,184
Moderna,0.0010666666666666667,185
No_vaccine,0.012733333333333333,185
Moderna,8.666666666666666e-4,186
No_vaccine,0.0116,186
Moderna,7.333333333333333e-4,187
No_vaccine,0.0136,187
Moderna,7.333333333333333e-4,188
No_vaccine,0.0126,188
Moderna,8e-4,189
No_vaccine,0.0126,189
Moderna,6e-4,190
No_vaccine,0.013866666666666666,190
Moderna,9.333333333333333e-4,191
No_vaccine,0.012066666666666667,191
Moderna,6.666666666666666e-4,192
No_vaccine,0.013466666666666667,192
Moderna,4e-4,193
No_vaccine,0.010933333333333333,193
Moderna,6e-4,194
No_vaccine,0.011866666666666666,194
Moderna,0.001,195
No_vaccine,0.013866666666666666,195
Moderna,6e-4,196
No_vaccine,0.012666666666666666,196
Moderna,8.666666666666666e-4,197
No_vaccine,0.0122,197
Moderna,2.666666666666667e-4,198
No_vaccine,0.011933333333333334,198
Moderna,9.333333333333333e-4,199
No_vaccine,0.011533333333333333,199
Moderna,7.333333333333333e-4,200
No_vaccine,0.012666666666666666,200
Moderna,8.666666666666666e-4,201
No_vaccine,0.011933333333333334,201
Moderna,0.001,202
No_vaccine,0.012266666666666667,202
Moderna,8e-4,203
No_vaccine,0.0134,203
Moderna,4e-4,204
No_vaccine,0.012533333333333334,204
Moderna,5.333333333333334e-4,205
No_vaccine,0.012733333333333333,205
Moderna,5.333333333333334e-4,206
No_vaccine,0.012066666666666667,206
Moderna,4.6666666666666666e-4,207
No_vaccine,0.012733333333333333,207
Moderna,7.333333333333333e-4,208
No_vaccine,0.012733333333333333,208
Moderna,7.333333333333333e-4,209
No_vaccine,0.012133333333333333,209
Moderna,9.333333333333333e-4,210
No_vaccine,0.012866666666666667,210
Moderna,7.333333333333333e-4,211
No_vaccine,0.013133333333333334,211
Moderna,6e-4,212
No_vaccine,0.012933333333333333,212
Moderna,5.333333333333334e-4,213
No_vaccine,0.012866666666666667,213
Moderna,7.333333333333333e-4,214
No_vaccine,0.0134,214
Moderna,9.333333333333333e-4,215
No_vaccine,0.0134,215
Moderna,7.333333333333333e-4,216
No_vaccine,0.013,216
Moderna,6.666666666666666e-4,217
No_vaccine,0.0124,217
Moderna,9.333333333333333e-4,218
No_vaccine,0.012333333333333333,218
Moderna,7.333333333333333e-4,219
No_vaccine,0.012266666666666667,219
Moderna,7.333333333333333e-4,220
No_vaccine,0.013266666666666666,220
Moderna,8e-4,221
No_vaccine,0.0122,221
Moderna,6e-4,222
No_vaccine,0.011933333333333334,222
Moderna,5.333333333333334e-4,223
No_vaccine,0.0116,223
Moderna,4.6666666666666666e-4,224
No_vaccine,0.013533333333333333,224
Moderna,0.0010666666666666667,225
No_vaccine,0.014,225
Moderna,8e-4,226
No_vaccine,0.011333333333333334,226
Moderna,8e-4,227
No_vaccine,0.012866666666666667,227
Moderna,7.333333333333333e-4,228
No_vaccine,0.014333333333333333,228
Moderna,6e-4,229
No_vaccine,0.013333333333333334,229
Moderna,6.666666666666666e-4,230
No_vaccine,0.012466666666666666,230
Moderna,6e-4,231
No_vaccine,0.0104,231
Moderna,6.666666666666666e-4,232
No_vaccine,0.012866666666666667,232
Moderna,6e-4,233
No_vaccine,0.012,233
Moderna,8.666666666666666e-4,234
No_vaccine,0.0124,234
Moderna,6.666666666666666e-4,235
No_vaccine,0.011,235
Moderna,9.333333333333333e-4,236
No_vaccine,0.012133333333333333,236
Moderna,5.333333333333334e-4,237
No_vaccine,0.013466666666666667,237
Moderna,0.001,238
No_vaccine,0.012333333333333333,238
Moderna,0.0010666666666666667,239
No_vaccine,0.012,239
Moderna,4.6666666666666666e-4,240
No_vaccine,0.011933333333333334,240
Moderna,6e-4,241
No_vaccine,0.012266666666666667,241
Moderna,6e-4,242
No_vaccine,0.0116,242
Moderna,6.666666666666666e-4,243
No_vaccine,0.012866666666666667,243
Moderna,6.666666666666666e-4,244
No_vaccine,0.013466666666666667,244
Moderna,7.333333333333333e-4,245
No_vaccine,0.0124,245
Moderna,7.333333333333333e-4,246
No_vaccine,0.010866666666666667,246
Moderna,4e-4,247
No_vaccine,0.0136,247
Moderna,0.001,248
No_vaccine,0.0132,248
Moderna,6e-4,249
No_vaccine,0.014333333333333333,249
Moderna,6e-4,250
No_vaccine,0.012933333333333333,250
Moderna,9.333333333333333e-4,251
No_vaccine,0.0126,251
Moderna,6e-4,252
No_vaccine,0.011266666666666666,252
Moderna,9.333333333333333e-4,253
No_vaccine,0.010733333333333333,253
Moderna,8.666666666666666e-4,254
No_vaccine,0.012,254
Moderna,7.333333333333333e-4,255
No_vaccine,0.0114,255
Moderna,0.0013333333333333333,256
No_vaccine,0.013,256
Moderna,5.333333333333334e-4,257
No_vaccine,0.011466666666666667,257
Moderna,0.001,258
No_vaccine,0.012333333333333333,258
Moderna,6.666666666666666e-4,259
No_vaccine,0.012266666666666667,259
Moderna,0.0011333333333333334,260
No_vaccine,0.010333333333333333,260
Moderna,9.333333333333333e-4,261
No_vaccine,0.011333333333333334,261
Moderna,7.333333333333333e-4,262
No_vaccine,0.011133333333333334,262
Moderna,6.666666666666666e-4,263
No_vaccine,0.011866666666666666,263
Moderna,7.333333333333333e-4,264
No_vaccine,0.012066666666666667,264
Moderna,4.6666666666666666e-4,265
No_vaccine,0.013266666666666666,265
Moderna,4.6666666666666666e-4,266
No_vaccine,0.0126,266
Moderna,6.666666666666666e-4,267
No_vaccine,0.013533333333333333,267
Moderna,9.333333333333333e-4,268
No_vaccine,0.011733333333333333,268
Moderna,0.0010666666666666667,269
No_vaccine,0.0132,269
Moderna,0.0011333333333333334,270
No_vaccine,0.012266666666666667,270
Moderna,7.333333333333333e-4,271
No_vaccine,0.012866666666666667,271
Moderna,0.001,272
No_vaccine,0.011266666666666666,272
Moderna,0.001,273
No_vaccine,0.0126,273
Moderna,4.6666666666666666e-4,274
No_vaccine,0.0138,274
Moderna,2.666666666666667e-4,275
No_vaccine,0.012866666666666667,275
Moderna,8.666666666666666e-4,276
No_vaccine,0.013066666666666667,276
Moderna,8.666666666666666e-4,277
No_vaccine,0.012466666666666666,277
Moderna,0.001,278
No_vaccine,0.0132,278
Moderna,0.0010666666666666667,279
No_vaccine,0.011933333333333334,279
Moderna,0.0012666666666666666,280
No_vaccine,0.012933333333333333,280
Moderna,7.333333333333333e-4,281
No_vaccine,0.011333333333333334,281
Moderna,8e-4,282
No_vaccine,0.013266666666666666,282
Moderna,6.666666666666666e-4,283
No_vaccine,0.0124,283
Moderna,8e-4,284
No_vaccine,0.013266666666666666,284
Moderna,7.333333333333333e-4,285
No_vaccine,0.012733333333333333,285
Moderna,3.333333333333333e-4,286
No_vaccine,0.012266666666666667,286
Moderna,8e-4,287
No_vaccine,0.012066666666666667,287
Moderna,4.6666666666666666e-4,288
No_vaccine,0.012866666666666667,288
Moderna,0.001,289
No_vaccine,0.011733333333333333,289
Moderna,8e-4,290
No_vaccine,0.012266666666666667,290
Moderna,8e-4,291
No_vaccine,0.011933333333333334,291
Moderna,9.333333333333333e-4,292
No_vaccine,0.012066666666666667,292
Moderna,7.333333333333333e-4,293
No_vaccine,0.012266666666666667,293
Moderna,6.666666666666666e-4,294
No_vaccine,0.012266666666666667,294
Moderna,5.333333333333334e-4,295
No_vaccine,0.011133333333333334,295
Moderna,8.666666666666666e-4,296
No_vaccine,0.0104,296
Moderna,5.333333333333334e-4,297
No_vaccine,0.012133333333333333,297
Moderna,8.666666666666666e-4,298
No_vaccine,0.012133333333333333,298
Moderna,5.333333333333334e-4,299
No_vaccine,0.012,299
Moderna,6.666666666666666e-4,300
No_vaccine,0.0126,300
Moderna,0.0010666666666666667,301
No_vaccine,0.013466666666666667,301
Moderna,9.333333333333333e-4,302
No_vaccine,0.011533333333333333,302
Moderna,6e-4,303
No_vaccine,0.011,303
Moderna,6.666666666666666e-4,304
No_vaccine,0.011133333333333334,304
Moderna,8.666666666666666e-4,305
No_vaccine,0.014,305
Moderna,2.666666666666667e-4,306
No_vaccine,0.010866666666666667,306
Moderna,8.666666666666666e-4,307
No_vaccine,0.0124,307
Moderna,5.333333333333334e-4,308
No_vaccine,0.011333333333333334,308
Moderna,8.666666666666666e-4,309
No_vaccine,0.011933333333333334,309
Moderna,5.333333333333334e-4,310
No_vaccine,0.0112,310
Moderna,8.666666666666666e-4,311
No_vaccine,0.012,311
Moderna,4e-4,312
No_vaccine,0.012933333333333333,312
Moderna,7.333333333333333e-4,313
No_vaccine,0.013,313
Moderna,6e-4,314
No_vaccine,0.012133333333333333,314
Moderna,6e-4,315
No_vaccine,0.0124,315
Moderna,7.333333333333333e-4,316
No_vaccine,0.012933333333333333,316
Moderna,4.6666666666666666e-4,317
No_vaccine,0.0126,317
Moderna,6e-4,318
No_vaccine,0.009266666666666666,318
Moderna,4e-4,319
No_vaccine,0.012533333333333334,319
Moderna,9.333333333333333e-4,320
No_vaccine,0.012066666666666667,320
Moderna,9.333333333333333e-4,321
No_vaccine,0.011733333333333333,321
Moderna,0.001,322
No_vaccine,0.010066666666666666,322
Moderna,0.0010666666666666667,323
No_vaccine,0.0114,323
Moderna,4.6666666666666666e-4,324
No_vaccine,0.013266666666666666,324
Moderna,8e-4,325
No_vaccine,0.012666666666666666,325
Moderna,8.666666666666666e-4,326
No_vaccine,0.012066666666666667,326
Moderna,9.333333333333333e-4,327
No_vaccine,0.0106,327
Moderna,6e-4,328
No_vaccine,0.012066666666666667,328
Moderna,7.333333333333333e-4,329
No_vaccine,0.011733333333333333,329
Moderna,5.333333333333334e-4,330
No_vaccine,0.0126,330
Moderna,8e-4,331
No_vaccine,0.012,331
Moderna,8e-4,332
No_vaccine,0.013866666666666666,332
Moderna,8e-4,333
No_vaccine,0.014066666666666667,333
Moderna,0.001,334
No_vaccine,0.012866666666666667,334
Moderna,5.333333333333334e-4,335
No_vaccine,0.0138,335
Moderna,8.666666666666666e-4,336
No_vaccine,0.012133333333333333,336
Moderna,8e-4,337
No_vaccine,0.011533333333333333,337
Moderna,8e-4,338
No_vaccine,0.0116,338
Moderna,6.666666666666666e-4,339
No_vaccine,0.011933333333333334,339
Moderna,0.001,340
No_vaccine,0.011533333333333333,340
Moderna,6.666666666666666e-4,341
No_vaccine,0.011933333333333334,341
Moderna,8e-4,342
No_vaccine,0.012266666666666667,342
Moderna,8e-4,343
No_vaccine,0.012933333333333333,343
Moderna,4e-4,344
No_vaccine,0.011133333333333334,344
Moderna,7.333333333333333e-4,345
No_vaccine,0.011933333333333334,345
Moderna,6e-4,346
No_vaccine,0.012333333333333333,346
Moderna,0.0010666666666666667,347
No_vaccine,0.0132,347
Moderna,6e-4,348
No_vaccine,0.013933333333333334,348
Moderna,4e-4,349
No_vaccine,0.012133333333333333,349
Moderna,5.333333333333334e-4,350
No_vaccine,0.011266666666666666,350
Moderna,4e-4,351
No_vaccine,0.012,351
Moderna,8e-4,352
No_vaccine,0.012333333333333333,352
Moderna,0.0010666666666666667,353
No_vaccine,0.012733333333333333,353
Moderna,9.333333333333333e-4,354
No_vaccine,0.012733333333333333,354
Moderna,0.0010666666666666667,355
No_vaccine,0.013133333333333334,355
Moderna,4.6666666666666666e-4,356
No_vaccine,0.0142,356
Moderna,8.666666666666666e-4,357
No_vaccine,0.0112,357
Moderna,6.666666666666666e-4,358
No_vaccine,0.011666666666666667,358
Moderna,9.333333333333333e-4,359
No_vaccine,0.011333333333333334,359
Moderna,5.333333333333334e-4,360
No_vaccine,0.012333333333333333,360
Moderna,0.0012,361
No_vaccine,0.0106,361
Moderna,8.666666666666666e-4,362
No_vaccine,0.012266666666666667,362
Moderna,5.333333333333334e-4,363
No_vaccine,0.0126,363
Moderna,0.0011333333333333334,364
No_vaccine,0.011866666666666666,364
Moderna,4e-4,365
No_vaccine,0.0124,365
Moderna,7.333333333333333e-4,366
No_vaccine,0.011866666666666666,366
Moderna,6.666666666666666e-4,367
No_vaccine,0.013466666666666667,367
Moderna,0.001,368
No_vaccine,0.009933333333333334,368
Moderna,4.6666666666666666e-4,369
No_vaccine,0.011933333333333334,369
Moderna,6.666666666666666e-4,370
No_vaccine,0.012866666666666667,370
Moderna,8e-4,371
No_vaccine,0.0128,371
Moderna,6e-4,372
No_vaccine,0.013733333333333334,372
Moderna,4.6666666666666666e-4,373
No_vaccine,0.0108,373
Moderna,4.6666666666666666e-4,374
No_vaccine,0.0128,374
Moderna,4.6666666666666666e-4,375
No_vaccine,0.0122,375
Moderna,8.666666666666666e-4,376
No_vaccine,0.012866666666666667,376
Moderna,6e-4,377
No_vaccine,0.011666666666666667,377
Moderna,5.333333333333334e-4,378
No_vaccine,0.010533333333333334,378
Moderna,7.333333333333333e-4,379
No_vaccine,0.011533333333333333,379
Moderna,6.666666666666666e-4,380
No_vaccine,0.011466666666666667,380
Moderna,0.0012,381
No_vaccine,0.0128,381
Moderna,0.0011333333333333334,382
No_vaccine,0.014533333333333334,382
Moderna,9.333333333333333e-4,383
No_vaccine,0.011866666666666666,383
Moderna,6e-4,384
No_vaccine,0.011733333333333333,384
Moderna,9.333333333333333e-4,385
No_vaccine,0.014666666666666666,385
Moderna,4.6666666666666666e-4,386
No_vaccine,0.012533333333333334,386
Moderna,7.333333333333333e-4,387
No_vaccine,0.011866666666666666,387
Moderna,8e-4,388
No_vaccine,0.013066666666666667,388
Moderna,4e-4,389
No_vaccine,0.0134,389
Moderna,8.666666666666666e-4,390
No_vaccine,0.012666666666666666,390
Moderna,0.001,391
No_vaccine,0.011666666666666667,391
Moderna,9.333333333333333e-4,392
No_vaccine,0.011133333333333334,392
Moderna,0.0012666666666666666,393
No_vaccine,0.0136,393
Moderna,9.333333333333333e-4,394
No_vaccine,0.011666666666666667,394
Moderna,9.333333333333333e-4,395
No_vaccine,0.014266666666666667,395
Moderna,5.333333333333334e-4,396
No_vaccine,0.012666666666666666,396
Moderna,2.666666666666667e-4,397
No_vaccine,0.012266666666666667,397
Moderna,7.333333333333333e-4,398
No_vaccine,0.0122,398
Moderna,7.333333333333333e-4,399
No_vaccine,0.0126,399
Moderna,0.0013333333333333333,400
No_vaccine,0.0106,400
Moderna,6.666666666666666e-4,401
No_vaccine,0.011666666666666667,401
Moderna,6e-4,402
No_vaccine,0.011266666666666666,402
Moderna,5.333333333333334e-4,403
No_vaccine,0.013466666666666667,403
Moderna,5.333333333333334e-4,404
No_vaccine,0.012466666666666666,404
Moderna,0.0013333333333333333,405
No_vaccine,0.011066666666666667,405
Moderna,0.001,406
No_vaccine,0.013466666666666667,406
Moderna,0.0012,407
No_vaccine,0.012066666666666667,407
Moderna,4.6666666666666666e-4,408
No_vaccine,0.011133333333333334,408
Moderna,6.666666666666666e-4,409
No_vaccine,0.011666666666666667,409
Moderna,8e-4,410
No_vaccine,0.011866666666666666,410
Moderna,0.001,411
No_vaccine,0.0106,411
Moderna,9.333333333333333e-4,412
No_vaccine,0.012133333333333333,412
Moderna,4e-4,413
No_vaccine,0.013733333333333334,413
Moderna,2e-4,414
No_vaccine,0.011933333333333334,414
Moderna,4e-4,415
No_vaccine,0.013666666666666667,415
Moderna,4.6666666666666666e-4,416
No_vaccine,0.011666666666666667,416
Moderna,8.666666666666666e-4,417
No_vaccine,0.012066666666666667,417
Moderna,0.0011333333333333334,418
No_vaccine,0.012666666666666666,418
Moderna,9.333333333333333e-4,419
No_vaccine,0.0146,419
Moderna,5.333333333333334e-4,420
No_vaccine,0.0114,420
Moderna,7.333333333333333e-4,421
No_vaccine,0.014066666666666667,421
Moderna,9.333333333333333e-4,422
No_vaccine,0.0124,422
Moderna,6.666666666666666e-4,423
No_vaccine,0.010333333333333333,423
Moderna,7.333333333333333e-4,424
No_vaccine,0.013,424
Moderna,8e-4,425
No_vaccine,0.0108,425
Moderna,8.666666666666666e-4,426
No_vaccine,0.0122,426
Moderna,6e-4,427
No_vaccine,0.0118,427
Moderna,7.333333333333333e-4,428
